artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,key_name,mode_name,tonality,tempo_class,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
britney spears,oops!...i did it again,False,2000,0.77,0.751,0.834,0.745,0.0437,0.3,1.77e-05,0.355,0.894,95,3.31,C#,Minor,C# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blink-182,all the small things,False,1999,0.79,0.434,0.897,0.771,0.0488,0.0103,0.0,0.612,0.684,149,2.47,C,Major,C Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
faith hill,breathe,False,1999,0.66,0.529,0.496,0.569,0.029,0.173,0.0,0.251,0.278,137,4.1,G,Major,G Major,Veloce (Allegro),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
bon jovi,it's my life,False,2000,0.78,0.551,0.913,0.813,0.0466,0.0263,1.35e-05,0.347,0.544,120,3.44,C,Minor,C Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
nsync,bye bye bye,False,2000,0.65,0.614,0.928,0.776,0.0516,0.0408,0.00104,0.0845,0.879,173,3.2,G#,Minor,G# Minor,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sisqo,thong song,True,1999,0.69,0.706,0.888,0.67,0.0654,0.119,9.64e-05,0.07,0.714,122,4.13,D,Major,D Major,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
eminem,the real slim shady,True,2000,0.86,0.949,0.661,0.804,0.0572,0.0302,0.0,0.0454,0.76,105,4.44,F,Minor,F Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
robbie williams,rock dj,False,2000,0.68,0.708,0.772,0.803,0.0322,0.0267,0.0,0.467,0.861,103,4.18,G,Major,G Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
destiny's child,say my name,False,1999,0.75,0.713,0.678,0.839,0.102,0.273,0.0,0.149,0.734,138,4.31,F,Minor,F Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
modjo,lady - hear me tonight,False,2001,0.77,0.72,0.808,0.736,0.0379,0.00793,0.0293,0.0634,0.869,126,5.07,F#,Major,F# Major,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
gigi d'agostino,l'amour toujours,False,2011,0.01,0.617,0.728,0.622,0.0292,0.0328,0.0482,0.36,0.808,139,3.58,G,Major,G Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
eiffel 65,move your body - gabry ponte original radio edit,False,1999,0.56,0.745,0.958,0.536,0.0287,0.0813,0.324,0.533,0.96,130,4.28,G,Major,G Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bomfunk mc's,freestyler,False,2000,0.55,0.822,0.922,0.727,0.0989,0.0291,0.325,0.252,0.568,164,5.06,B,Minor,B Minor,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sting,desert rose,False,1999,0.62,0.586,0.659,0.622,0.0304,0.011,0.0,0.106,0.147,112,4.45,C,Minor,C Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
melanie c,never be the same again,False,1999,0.61,0.689,0.685,0.759,0.0478,0.0921,0.0,0.119,0.398,160,4.54,D#,Major,D# Major,Vivace,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
aaliyah,try again,False,2002,0.53,0.797,0.622,0.735,0.29,0.0807,0.0,0.0841,0.731,93,4.44,F#,Minor,F# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
anastacia,i'm outta love - radio edit,False,1999,0.64,0.761,0.716,0.727,0.056,0.396,0.0,0.0771,0.649,119,4.05,A#,Minor,A# Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
alice deejay,better off alone,False,2000,0.73,0.671,0.88,0.71,0.0552,0.00181,0.691,0.285,0.782,137,3.34,G#,Minor,G# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gigi d'agostino,the riddle,False,1999,0.64,0.74,0.876,0.674,0.0369,0.0173,0.00152,0.0785,0.825,127,4.45,F#,Minor,F# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dr. dre,the next episode,True,1999,0.82,0.922,0.909,0.894,0.27,0.0281,0.0,0.0856,0.309,95,2.41,A#,Minor,A# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
linkin park,in the end,False,2000,0.83,0.556,0.864,0.724,0.0584,0.00958,0.0,0.209,0.4,105,3.36,D#,Minor,D# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tom jones,sexbomb,False,1999,0.65,0.801,0.876,0.819,0.0446,0.144,1.38e-05,0.104,0.932,123,3.31,G#,Minor,G# Minor,Veloce (Allegro),1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
sonique,it feels so good,False,2000,0.62,0.634,0.677,0.654,0.0304,0.0117,0.00103,0.126,0.558,135,4.0,F,Minor,F Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
m.o.p.,cold as ice,True,2000,0.54,0.656,0.88,0.746,0.143,0.0421,0.0,0.294,0.758,86,4.04,B,Minor,B Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
melanie c,i turn to you,False,1999,0.54,0.522,0.803,0.726,0.0327,0.00117,0.00167,0.31,0.0783,135,5.52,C#,Major,C# Major,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
limp bizkit,take a look around,False,2000,0.72,0.425,0.852,0.737,0.046,0.0175,0.306,0.0935,0.512,102,5.21,B,Major,B Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
darude,sandstorm,False,2001,0.69,0.528,0.965,0.619,0.0465,0.141,0.985,0.0797,0.587,136,3.45,B,Minor,B Minor,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
da brat,what'chu like (feat. tyrese),True,2000,0.53,0.879,0.681,0.571,0.24,0.017,0.0,0.0669,0.817,100,3.41,A#,Minor,A# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
moloko,the time is now,False,2000,0.54,0.682,0.743,0.488,0.165,0.35,0.000129,0.277,0.546,128,5.18,A,Minor,A Minor,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
chicane,don't give up,False,2016,0.47,0.644,0.72,0.538,0.0419,0.00145,0.504,0.0839,0.53,132,3.3,A#,Minor,A# Minor,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
dmx,party up,True,1999,0.71,0.51,0.931,0.85,0.347,0.0738,0.0,0.5,0.53,202,4.28,B,Major,B Major,Frenetico (Presto),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
debelah morgan,dance with me,False,2000,0.49,0.85,0.674,0.619,0.0373,0.309,0.000645,0.0356,0.74,115,3.4,G,Minor,G Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
madonna,music,False,2000,0.58,0.736,0.802,0.592,0.0663,0.00149,0.0876,0.14,0.871,120,3.45,G,Major,G Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ruff endz,no more,False,2000,0.52,0.839,0.641,0.734,0.0858,0.0324,4.56e-06,0.0602,0.927,97,4.02,A#,Minor,A# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
britney spears,born to make you happy,False,1999,0.58,0.633,0.922,0.774,0.0454,0.116,0.000465,0.071,0.686,84,4.03,B,Minor,B Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
montell jordan,get it on tonite,False,1999,0.59,0.813,0.491,0.523,0.077,0.241,4.61e-05,0.0817,0.868,99,4.36,A#,Minor,A# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
kylie minogue,spinning around,False,2000,0.55,0.761,0.662,0.636,0.0548,0.292,6.19e-05,0.0956,0.631,120,3.27,F#,Minor,F# Minor,Allegretto,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
jay-z,big pimpin',True,1999,0.69,0.88,0.814,0.702,0.14,0.168,0.00672,0.0584,0.942,138,4.43,B,Minor,B Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
leann rimes,i need you,False,2001,0.61,0.478,0.736,0.662,0.0367,0.02,9.58e-05,0.118,0.564,145,3.49,G,Major,G Major,Veloce (Allegro),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
avant,separated,False,2000,0.55,0.798,0.48,0.739,0.0276,0.247,0.0,0.237,0.643,108,4.15,C,Major,C Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
enrique iglesias,be with you,False,1999,0.54,0.683,0.866,0.745,0.0329,0.0395,0.00161,0.0483,0.542,122,3.39,C#,Minor,C# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
toni braxton,he wasn't man enough,False,2000,0.66,0.739,0.947,0.919,0.0411,0.00916,3.14e-05,0.326,0.766,88,4.21,B,Minor,B Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bow wow,bounce with me (feat. xscape) - edited album version,False,2000,0.36,0.852,0.75,0.759,0.168,0.434,0.0,0.265,0.934,72,2.55,G#,Major,G# Major,Lento (Adagio),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
dr. dre,forgot about dre,True,1999,0.79,0.924,0.74,0.949,0.0774,0.0827,0.0,0.163,0.621,134,3.42,G#,Major,G# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
missy elliott,hot boyz,True,1998,0.49,0.727,0.445,0.458,0.291,0.339,0.0,0.18,0.527,81,3.35,C#,Major,C# Major,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
backstreet boys,show me the meaning of being lonely,False,1999,0.68,0.63,0.625,0.762,0.0252,0.231,0.0,0.0765,0.683,168,3.54,F#,Minor,F# Minor,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
samantha mumba,gotta tell you,False,2018,0.43,0.729,0.632,0.581,0.0279,0.191,0.0,0.166,0.774,110,3.21,C,Minor,C Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mya,case of the ex (whatcha gonna do),False,2000,0.59,0.772,0.688,0.781,0.0405,0.0548,9.79e-05,0.0725,0.348,98,3.56,C#,Minor,C# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
mary mary,shackles (praise you),False,2000,0.64,0.779,0.834,0.877,0.162,0.0343,0.0,0.0886,0.8,100,3.18,G,Major,G Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
next,wifey,False,2004,0.52,0.829,0.652,0.584,0.108,0.067,0.0,0.0812,0.726,100,4.03,G,Minor,G Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
janet jackson,doesn't really matter,False,2001,0.47,0.771,0.796,0.861,0.076,0.0993,0.00278,0.0981,0.801,99,4.25,F,Minor,F Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ricky martin,she bangs - english version,False,2000,0.6,0.63,0.95,0.815,0.0806,0.000915,6.51e-06,0.373,0.858,144,4.4,C#,Major,C# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
jagged edge,he can't love u,False,2000,0.55,0.721,0.836,0.817,0.206,0.112,0.0,0.235,0.508,126,4.04,G#,Minor,G# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
sisqo,incomplete,True,1999,0.6,0.746,0.443,0.634,0.0771,0.282,0.0,0.14,0.272,119,4.34,C#,Minor,C# Minor,Allegretto,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
jay-z,i just wanna love u (give it 2 me),True,2000,0.59,0.8,0.922,0.76,0.24,0.301,9.31e-06,0.0352,0.801,99,3.47,E,Minor,E Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mariah carey,thank god i found you (feat. joe & 98°),False,1999,0.59,0.348,0.532,0.723,0.0331,0.592,0.0,0.106,0.148,129,4.17,A#,Major,A# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
baha men,who let the dogs out,False,2000,0.65,0.869,0.887,0.791,0.0993,0.0605,0.0,0.148,0.784,129,3.18,C,Major,C Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
donell jones,"u know what's up (feat. lisa ""left eye"" lopes)",True,1999,0.63,0.854,0.543,0.709,0.0844,0.0402,5.73e-05,0.0419,0.868,103,4.03,G#,Minor,G# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
leann rimes,can't fight the moonlight,False,2001,0.65,0.628,0.834,0.7,0.0497,0.403,0.0,0.051,0.626,98,3.35,F#,Minor,F# Minor,Moderato,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
oasis,go let it out,False,2000,0.0,0.408,0.849,0.735,0.0333,0.0136,2.51e-05,0.56,0.628,84,4.38,D,Major,D Major,Moderato,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
dj otzi,hey baby (radio mix),False,2010,0.58,0.666,0.968,0.856,0.046,0.123,0.0,0.347,0.834,135,3.39,A#,Major,A# Major,Veloce (Allegro),0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
p!nk,most girls,False,2000,0.52,0.742,0.732,0.715,0.0311,0.0424,0.00446,0.101,0.694,98,4.58,D,Minor,D Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mariah carey,against all odds (take a look at me now) (feat. westlife),False,2011,0.0,0.471,0.514,0.737,0.0315,0.584,0.0,0.103,0.373,117,3.19,C#,Major,C# Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
craig david,fill me in,False,2000,0.6,0.682,0.744,0.669,0.0365,0.376,0.00951,0.06,0.827,132,4.17,G#,Major,G# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
christina aguilera,i turn to you,False,1999,0.61,0.599,0.47,0.601,0.0376,0.38,0.0,0.111,0.298,127,4.33,C#,Major,C# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
madonna,american pie,False,2000,0.58,0.631,0.734,0.644,0.036,0.348,0.0,0.135,0.591,124,4.33,F,Minor,F Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
red hot chili peppers,otherside,False,1999,0.78,0.458,0.795,0.852,0.0574,0.00316,0.000202,0.0756,0.513,123,4.15,C,Major,C Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sammie,i like it,False,2000,0.55,0.826,0.656,0.592,0.0617,0.0101,0.000113,0.0272,0.852,130,4.11,A,Major,A Major,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
craig david,7 days,False,2000,0.7,0.659,0.812,0.643,0.0487,0.23,0.0,0.0951,0.888,83,3.55,E,Minor,E Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
santana,maria maria (feat. the product g&b),False,1999,0.66,0.777,0.601,0.721,0.126,0.0406,0.00201,0.0348,0.68,98,4.21,D,Major,D Major,Moderato,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
kandi,don't think i'm not,False,2000,0.55,0.859,0.622,0.609,0.0445,0.0661,0.0,0.0394,0.433,134,4.03,B,Major,B Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
p!nk,there you go,False,2000,0.55,0.822,0.847,0.681,0.0917,0.0854,0.0,0.0452,0.668,108,3.22,A#,Minor,A# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
vengaboys,shalala lala,False,2000,0.58,0.751,0.901,0.727,0.0328,0.0504,0.00308,0.0395,0.973,124,3.34,D,Major,D Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ronan keating,life is a rollercoaster,False,2000,0.59,0.655,0.791,0.573,0.0302,0.1,0.000124,0.334,0.862,119,3.54,C,Major,C Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
madison avenue,don't call me baby,False,1999,0.56,0.808,0.982,0.688,0.0311,0.0585,0.00689,0.35,0.961,125,3.48,D#,Minor,D# Minor,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
destiny's child,"jumpin', jumpin'",False,1999,0.7,0.771,0.685,0.784,0.0567,0.00543,0.00157,0.0537,0.683,89,3.5,C#,Major,C# Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
celine dion,that's the way it is,False,1999,0.64,0.634,0.886,0.746,0.0434,0.154,0.0,0.118,0.577,93,4.01,A,Major,A Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3 doors down,kryptonite,False,2000,0.78,0.545,0.865,0.732,0.0286,0.00664,1.1e-05,0.168,0.543,99,3.53,B,Minor,B Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
carl thomas,i wish,False,2000,0.52,0.736,0.666,0.77,0.0337,0.0593,3.82e-05,0.107,0.224,90,3.46,C#,Major,C# Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
mystikal,shake ya ass,True,2000,0.57,0.914,0.607,0.734,0.32,0.0626,0.0,0.0515,0.666,98,4.16,G,Major,G Major,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
fuel,hemorrhage (in my hands),False,2000,0.49,0.313,0.831,0.821,0.0404,0.000127,0.000341,0.24,0.332,152,3.56,C#,Major,C# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
donell jones,where i wanna be,False,1999,0.57,0.664,0.396,0.562,0.0298,0.52,0.0,0.268,0.453,102,4.13,F,Minor,F Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
savage garden,crash and burn,False,1999,0.54,0.581,0.607,0.596,0.028,0.189,1.6e-06,0.0882,0.213,102,4.41,E,Major,E Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
westlife,my love,False,2000,0.68,0.491,0.593,0.718,0.0255,0.098,0.0,0.257,0.328,144,3.51,C,Major,C Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
all saints,pure shores,False,2000,0.62,0.631,0.664,0.559,0.0242,0.0498,0.00042,0.0696,0.407,101,4.28,F#,Major,F# Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
destiny's child,"independent women, pt. 1",False,2001,0.65,0.73,0.602,0.827,0.206,0.362,3.69e-06,0.169,0.927,98,3.41,F#,Minor,F# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
nsync,it's gonna be me,False,2000,0.6,0.644,0.874,0.783,0.0801,0.0459,2.24e-06,0.0584,0.882,165,3.11,C,Minor,C Minor,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
erykah badu,bag lady,False,2000,0.54,0.724,0.416,0.571,0.0841,0.365,0.0,0.0969,0.578,151,5.48,F,Minor,F Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
marc anthony,you sang to me,False,1999,0.56,0.578,0.894,0.746,0.0296,0.0103,2.66e-06,0.216,0.741,166,5.47,A#,Major,A# Major,Vivace,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
matchbox twenty,bent,False,2000,0.54,0.518,0.83,0.677,0.0386,0.0404,3.85e-06,0.375,0.527,95,4.16,F#,Minor,F# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
gabrielle,rise,False,2001,0.6,0.558,0.481,0.545,0.026,0.315,8.83e-06,0.09,0.631,145,3.39,G#,Major,G# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
backstreet boys,shape of my heart,False,2000,0.7,0.575,0.786,0.799,0.0296,0.252,0.0,0.159,0.518,96,3.5,A,Major,A Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
creed,with arms wide open,False,1999,0.64,0.41,0.539,0.598,0.0302,0.00425,0.00089,0.117,0.141,139,4.34,C,Major,C Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
corrs,breathless,False,2000,0.68,0.607,0.82,0.63,0.0597,0.0541,6.8e-05,0.269,0.768,127,3.27,B,Major,B Major,Veloce (Allegro),1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
joe,i wanna know,False,2000,0.65,0.725,0.487,0.719,0.0368,0.26,1.09e-05,0.431,0.599,136,4.56,G#,Minor,G# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
wheatus,teenage dirtbag,True,1999,0.71,0.625,0.85,0.821,0.0495,0.346,0.000233,0.174,0.633,95,4.01,E,Major,E Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
christina aguilera,come on over baby (all i want is you) - radio version,False,1999,0.64,0.829,0.915,0.855,0.106,0.226,1.25e-05,0.246,0.779,119,3.23,G#,Major,G# Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
creed,higher,False,1999,0.69,0.459,0.83,0.705,0.0364,5.15e-05,0.00014,0.206,0.431,156,5.16,D,Major,D Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
britney spears,lucky,False,2000,0.65,0.765,0.791,0.732,0.0317,0.262,0.000154,0.0669,0.966,95,3.26,G#,Major,G# Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nelly,country grammar (hot shit),True,2000,0.68,0.865,0.664,0.677,0.108,0.00689,0.0,0.142,0.565,163,4.47,D,Major,D Major,Vivace,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
shaggy,it wasn't me,False,2000,0.76,0.853,0.606,0.787,0.0713,0.0561,0.0,0.313,0.654,95,3.47,C,Major,C Major,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
destiny's child,survivor,False,2001,0.7,0.514,0.911,0.913,0.41,0.0559,0.0,0.775,0.619,161,4.14,C#,Minor,C# Minor,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
eminem,stan,True,2000,0.83,0.78,0.768,0.8,0.238,0.0371,2.34e-06,0.518,0.507,80,6.44,F#,Minor,F# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kylie minogue,can't get you out of my head,False,2001,0.73,0.766,0.563,0.642,0.0339,0.0263,0.683,0.115,0.964,126,3.5,A,Minor,A Minor,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
christina aguilera,"lady marmalade - from ""moulin rouge"" soundtrack",False,2001,0.68,0.76,0.801,0.827,0.0534,0.0144,1.49e-05,0.665,0.653,110,4.24,F,Major,F Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nelly furtado,i'm like a bird,False,2000,0.01,0.622,0.608,0.762,0.036,0.138,5.38e-06,0.273,0.607,90,4.03,A#,Major,A# Major,Moderato,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
shakira,"whenever, wherever",False,2001,0.74,0.794,0.832,0.773,0.0407,0.237,1.14e-05,0.203,0.871,108,3.16,C#,Minor,C# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
jimmy eat world,the middle,False,2001,0.78,0.643,0.849,0.745,0.0526,0.0371,0.0,0.058,0.903,162,2.45,D,Major,D Major,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
train,drops of jupiter (tell me),False,2001,0.77,0.481,0.638,0.724,0.0276,0.153,0.0,0.154,0.497,79,4.19,C,Major,C Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
geri halliwell,it's raining men,False,2001,0.62,0.637,0.929,0.716,0.0447,0.063,0.00796,0.318,0.604,136,4.14,F,Minor,F Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blu cantrell,hit 'em up style (oops!),False,2001,0.71,0.667,0.773,0.767,0.0586,0.201,0.0,0.404,0.667,90,4.1,F,Minor,F Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
britney spears,i'm a slave 4 u,False,2001,0.69,0.847,0.843,0.837,0.106,0.415,0.000134,0.107,0.963,110,3.23,F,Minor,F Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kylie minogue,in your eyes,False,2001,0.62,0.689,0.894,0.7,0.0672,0.133,4.72e-05,0.0681,0.709,124,3.17,F#,Minor,F# Minor,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
missy elliott,one minute man (feat. ludacris),True,2001,0.57,0.622,0.669,0.598,0.329,0.0266,2.97e-06,0.152,0.57,94,4.12,A,Major,A Major,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
mary j. blige,family affair,False,2001,0.76,0.911,0.551,0.828,0.0449,0.132,4.12e-05,0.0863,0.969,93,4.25,G#,Minor,G# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
faithless,we come 1 - radio edit,False,2015,0.53,0.645,0.903,0.491,0.0441,0.00188,0.799,0.147,0.61,136,3.42,F,Minor,F Minor,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
limp bizkit,rollin' (air raid vehicle),True,2000,0.73,0.603,0.933,0.848,0.171,0.00591,0.0,0.206,0.709,96,3.33,C#,Major,C# Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lasgo,something,False,2001,0.65,0.643,0.981,0.685,0.0439,0.0271,8.93e-05,0.11,0.38,140,3.4,G,Minor,G Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
iio,rapture (feat.nadia ali),False,2006,0.54,0.661,0.855,0.598,0.0377,0.0722,0.0185,0.199,0.601,124,4.13,G#,Major,G# Major,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
emma bunton,what took you so long?,False,2001,0.54,0.668,0.772,0.747,0.0307,0.123,0.0,0.341,0.911,118,4.01,A,Minor,A Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,it's over now,False,2001,0.57,0.66,0.71,0.789,0.0409,0.0106,7.01e-06,0.0736,0.233,98,4.24,C#,Major,C# Major,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
